panel id,flat reference,foam reference,macrostructure reference,mesostructure reference,sand type,binder type
panel_0032_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0032_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0033_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0033_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0034_0,mean_flat_cg,mean_foam_2,panel_0015_0,Coursed_ashlar_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0034_1,mean_flat_cg,mean_foam_2,panel_0015_1,Coursed_ashlar_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0035_0,mean_flat_cg,mean_foam_2,panel_0015_0,Coursed_ashlar_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0035_1,mean_flat_cg,mean_foam_2,panel_0015_1,Coursed_ashlar_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0036_0,mean_flat_cg,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0036_1,mean_flat_cg,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0038_0,mean_flat_cg,mean_foam_2,flat,Polygonal_rubble_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0038_1,mean_flat_cg,mean_foam_2,flat,Polygonal_rubble_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0039_0,mean_flat_cg,mean_foam_2,flat,Polygonal_rubble_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0039_1,mean_flat_cg,mean_foam_2,flat,Polygonal_rubble_stones,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0040_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0040_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0040_r180_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0040_r180_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0041_0,mean_flat_cg,mean_foam_2,flat,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0041_1,mean_flat_cg,mean_foam_2,flat,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0041_r180_0,mean_flat_cg,mean_foam_2,flat,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0041_r180_1,mean_flat_cg,mean_foam_2,flat,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0042_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0042_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0043_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0043_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0044_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0044_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0045_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0045_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0046_0,mean_flat_cg,mean_foam_2,panel_0015_0,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0046_1,mean_flat_cg,mean_foam_2,panel_0015_1,Flemish_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
